"Candidate ID (As in the offer, 6 Digits starting with 2 or 3 )",Repo Link for the Miniproject (copy the HTTPS ),Is the Mini Project - your work evolution of your old/ new project,Category of Project [Applying the Guidelines and Process]
303105,https://github.com/BhavanSekar/MiniProject-LTTS.git,Application of process on new project,Fun/Passion Project
311053,https://github.com/indrakumar1999/MiniProject-311053.git,Application of process on new project,Application
302584,https://github.com/dilipkumar26/302584.git,Application of process on new project,Application
259940,https://github.com/skandams/Railway-management-system,Application of process on new project,Application
302471,https://github.com/302471/STEPIN-PROJECT.git,Application of process on new project,Application
302497,https://github.com/KollaNarasimha/Mini-Project.git,Application of process on new project,Application
298388,https://github.com/vysyarajusrikar/298388-LTTS-MINIPROJECT,Application of process on new project,Application
314272,https://github.com/ajay7997/miniproject_stepin.git,Application of process on new project,Application
303087,https://github.com/VIDYAMC/Employee-Managaement-system-in-C.git,Application of process on new project,Application
302444,https://github.com/chaluvadisanjay/my-Project.git,Application of process on old project - Evolution,Game
311185,https://github.com/Sriharshakurra/Miniproject.git,Application of process on old project - Evolution,Application
314316,https://github.com/sherisumanthreddy/SHERI-SUMANTHREDDY-314316-STEPIN.git,Application of process on new project,Application
298088,https://github.com/hradithyaaras/miniproject.git,Application of process on new project,Game
311199,https://github.com/VSA1GraveDigger/mysite.git,Application of process on old project - Evolution,Application
310992,https://github.com/Mazude/Mini-Project.git,Application of process on old project - Evolution,Application
314129,https://github.com/Kanishkt1999/Mini-Project.git,Application of process on new project,Application
314695,https://github.com/sumanthvandana/Scientific-calculator.git,Application of process on new project,Application
303609,https://github.com/Archit1799/ltts_project.git,Application of process on new project,Application
313638,https://github.com/TanmayBhilkar/LTTS_PROJECT-.git,Application of process on new project,Application
315112,https://github.com/tejaswini8352,Application of process on new project,Fun/Passion Project
268463,https://github.com/RakshitaRpatilkulkarni/Hospital-Management-System.git,Application of process on new project,Application
311035,https://github.com/ajeetsingh106/MINI-PROJECT.git,Application of process on new project,Application
313262,https://github.com/mansitardeja/Miniproject.git,Application of process on new project,Application
303917,https://github.com/pottikoteswararao/mini-project.git,Application of process on old project - Evolution,Fun/Passion Project
303457,https://github.com/SAIRAJL/Miniproject.git,Application of process on new project,Fun/Passion Project
314173,https://github.com/Megumi-anushka/game-using-c.git,Application of process on new project,Game
303016,https://github.com/rachit-kulkarni/Mini_project_303016.git,Application of process on new project,Fun/Passion Project
313969,https://github.com/shraddhachaurase/Mini_Model.git,Application of process on new project,Application
314478,https://github.com/Saurabhdubey592/markdown-portfoliot,Application of process on old project - Evolution,Application
304038,https://github.com/ajith-io/LTTS_StepIN_mini_project.git,Application of process on new project,Fun/Passion Project
314121,https://github.com/navya50043/L-T-project.git,Application of process on new project,Application
314122,https://github.com/Heam666/Mini_Project_Ltts.git,Application of process on new project,Fun/Passion Project
303451,https://github.com/karthi1155/Miniproject_ltts.git,Application of process on new project,Game
315187,https://github.com/Triveni22/Mini-Project.git,Application of process on new project,Application
303454,https://github.com/Danush2208/GST_Calculator.git,Application of process on old project - Evolution,Application
314232,https://github.com/Amit-Singh-op/Project-Ltts.git,Application of process on new project,Game
268423,https://github.com/ShettyGaneshprasad/F1-Pitstop-Strategy-Generator.git,Application of process on new project,Fun/Passion Project
315182,https://github.com/JATIN10-tech/Employee-Leave-Management-System.git,Application of process on new project,Application
308287,https://github.com/VisionToAnkit/Hackdot.git,Application of process on new project,Application
314345,https://github.com/MineriBhange/mini-project-on-C.git,Application of process on new project,Application
307740,https://github.com/Ritesh0880/Ambition.git,Application of process on new project,Game
302314,https://github.com/tanmaya191/Mini-project-302314.git,Application of process on new project,Application
313267,https://github.com/adityadewalkar/323167-Aditya-Dewalkar.git,Application of process on new project,Fun/Passion Project
298035,https://github.com/Chandan1098/Miniproject.git,Application of process on new project,Game
311072,https://github.com/Lalitha74/L-T-MINI-PROJECT.git,Application of process on new project,Application
303101,https://github.com/aryanjaiswalaj/Mini-Project.git,Application of process on new project,Application
310983,https://github.com/deepmonu/Mini-Project.git,Application of process on new project,Application
303091,https://github.com/MadhumethaJeyaganesan/Mini-project---Chain-reaction.git,Application of process on new project,Game
313239,https://github.com/sumedh-rao/MiniProject,Application of process on new project,Fun/Passion Project
311210,https://github.com/LPR1234/Mini.git,Application of process on new project,Application
